,Unnamed: 0,ID,WD,JD,GD,SD,SJ,target
263192,263192,R2019081303584401408376,30.8789,129.6783,5169.9521,662.6036,2012/2/1 10:07:06,F-4
263232,263232,R2019081303584401408376,30.3159,129.1759,4837.0019,742.1128,2012/2/1 10:13:56,F-4
263238,263238,R2019081303584401408376,30.2623,129.0955,4897.8068,655.3055,2012/2/1 10:14:56,F-4
263251,263251,R2019081303584401408376,30.1692,128.9129,5327.4812,746.6032,2012/2/1 10:17:16,F-4
263264,263264,R2019081303584401408376,30.0412,128.6077,5358.5896,657.7653,2012/2/1 10:19:26,F-4
263273,263273,R2019081303584401408376,29.9668,128.493,5467.8,686.8852,2012/2/1 10:20:56,F-4
263276,263276,R2019081303584401408376,29.943,128.4537,5203.9556,736.815,2012/2/1 10:21:26,F-4
263278,263278,R2019081303584401408376,29.9173,128.4212,5314.8358,740.4372,2012/2/1 10:21:46,F-4
263296,263296,R2019081303584401408376,29.8272,128.1057,5132.1462,671.7908,2012/2/1 10:24:56,F-4
263302,263302,R2019081303584401408376,29.7431,127.9974,4965.3502,719.3388,2012/2/1 10:25:56,F-4
263308,263308,R2019081303584401408376,29.6774,127.9125,5376.9739,739.7565,2012/2/1 10:26:56,F-4
263309,263309,R2019081303584401408376,29.661,127.9132,5127.9245,695.2981,2012/2/1 10:27:06,F-4
263324,263324,R2019081303584401408376,29.5452,127.7092,5174.9332,700.2556,2012/2/1 10:29:36,F-4
263342,263342,R2019081303584401408376,29.3167,127.6088,5056.8123,738.389,2012/2/1 10:32:46,F-4
263362,263362,R2019081303584401408376,28.915,127.5526,4610.5825,731.3911,2012/2/1 10:36:06,F-4
263373,263373,R2019081303584401408376,28.7084,127.4874,4993.0117,674.8706,2012/2/1 10:37:56,F-4
263387,263387,R2019081303584401408376,28.3981,127.4507,5323.1362,668.4662,2012/2/1 10:40:26,F-4
263397,263397,R2019081303584401408376,28.217,127.4375,5244.8129,712.025,2012/2/1 10:42:06,F-4
263403,263403,R2019081303584401408376,28.1281,127.3848,4581.5778,672.3755,2012/2/1 10:43:06,F-4
263415,263415,R2019081303584401408376,27.863,127.3925,4730.1979,697.0184,2012/2/1 10:45:06,F-4
263462,263462,R2019081303584401408376,27.069,127.0128,4728.0099,725.8993,2012/2/1 10:53:06,F-4
263466,263466,R2019081303584401408376,27.0315,126.9376,4850.1936,651.5415,2012/2/1 10:53:46,F-4
263478,263478,R2019081303584401408376,26.8056,126.8936,4878.2944,708.7454,2012/2/1 10:55:46,F-4
263480,263480,R2019081303584401408376,26.8048,126.8585,5385.6309,677.8588,2012/2/1 10:56:06,F-4
263483,263483,R2019081303584401408376,26.7682,126.8436,5454.3851,661.6424,2012/2/1 10:56:36,F-4
263498,263498,R2019081303584401408376,26.4426,126.7358,4515.7626,747.9891,2012/2/1 10:59:16,F-4
263514,263514,R2019081303584401408376,26.2607,126.6075,4732.846,673.8235,2012/2/1 11:01:56,F-4
263520,263520,R2019081303584401408376,26.2007,126.5462,5416.7285,662.936,2012/2/1 11:02:56,F-4
263530,263530,R2019081303584401408376,26.0307,126.463,5010.7231,679.4219,2012/2/1 11:04:46,F-4
263552,263552,R2019081303584401408376,25.7632,126.2592,5482.8943,713.4834,2012/2/1 11:08:26,F-4
263591,263591,R2019081303584401408376,25.2328,125.9519,5202.1692,712.6289,2012/2/1 11:15:06,F-4
263597,263597,R2019081303584401408376,25.1658,125.893,4653.0751,687.7261,2012/2/1 11:16:06,F-4
263614,263614,R2019081303584401408376,24.8748,125.7966,4513.6779,674.1009,2012/2/1 11:18:56,F-4
263621,263621,R2019081303584401408376,24.8004,125.6778,5352.2416,683.7309,2012/2/1 11:20:06,F-4
263680,263680,R2019081303584401408376,24.1164,125.0205,5478.9578,730.4994,2012/2/1 11:30:16,F-4
263685,263685,R2019081303584401408376,24.0314,124.9625,4594.496,703.0107,2012/2/1 11:31:06,F-4
263732,263732,R2019081303584401400122,30.8111,129.5486,4595.3267,739.4596,2012/2/9 10:05:44,F-4
263739,263739,R2019081303584401400122,30.7053,129.4387,4996.8422,687.7522,2012/2/9 10:06:54,F-4
263740,263740,R2019081303584401400122,30.681,129.4225,5422.5205,734.431,2012/2/9 10:07:04,F-4
263782,263782,R2019081303584401400122,30.1412,128.8805,4928.7175,731.3593,2012/2/9 10:14:14,F-4
263797,263797,R2019081303584401400122,30.0467,128.6003,5099.3944,695.9996,2012/2/9 10:16:44,F-4
263863,263863,R2019081303584401400122,29.3354,127.6156,4961.2438,694.5917,2012/2/9 10:28:04,F-4
263868,263868,R2019081303584401400122,29.241,127.5986,5295.0868,693.2156,2012/2/9 10:28:54,F-4
263871,263871,R2019081303584401400122,29.1971,127.5612,4670.7753,700.1461,2012/2/9 10:29:24,F-4
263872,263872,R2019081303584401400122,29.1737,127.5659,5270.277,719.1275,2012/2/9 10:29:34,F-4
263887,263887,R2019081303584401400122,28.8303,127.5643,5011.722,731.4007,2012/2/9 10:32:04,F-4
263916,263916,R2019081303584401400122,28.4478,127.4452,4689.7039,699.1667,2012/2/9 10:37:04,F-4
263924,263924,R2019081303584401400122,28.3311,127.426,4569.0666,740.2659,2012/2/9 10:38:24,F-4
263971,263971,R2019081303584401400122,27.4952,127.2756,4547.9667,680.4355,2012/2/9 10:46:14,F-4
263973,263973,R2019081303584401400122,27.4683,127.2755,4827.7067,714.5554,2012/2/9 10:46:34,F-4
264024,264024,R2019081303584401400122,26.7125,126.8182,4756.5436,685.8445,2012/2/9 10:55:24,F-4
264070,264070,R2019081303584401400122,25.8786,126.3814,4775.7061,747.1223,2012/2/9 11:03:14,F-4
264080,264080,R2019081303584401400122,25.7649,126.274,5122.6729,743.5686,2012/2/9 11:04:54,F-4
264081,264081,R2019081303584401400122,25.7579,126.27,4829.7051,709.3239,2012/2/9 11:05:04,F-4
264115,264115,R2019081303584401400122,25.2885,126.0581,5223.7951,703.5552,2012/2/9 11:10:54,F-4
264123,264123,R2019081303584401400122,25.2579,126.0116,5348.1326,677.78,2012/2/9 11:12:14,F-4
264139,264139,R2019081303584401400122,25.0449,125.8397,4755.8964,691.6164,2012/2/9 11:14:54,F-4
264151,264151,R2019081303584401400122,24.8589,125.7101,4621.4067,715.8083,2012/2/9 11:16:54,F-4
264152,264152,R2019081303584401400122,24.8245,125.6862,5066.1602,734.7783,2012/2/9 11:17:04,F-4
264162,264162,R2019081303584401400122,24.7066,125.5986,4915.8565,672.6133,2012/2/9 11:18:54,F-4
264172,264172,R2019081303584401400122,24.6345,125.5068,4821.0649,714.2796,2012/2/9 11:20:34,F-4
264183,264183,R2019081303584401400122,24.4871,125.3682,4675.1462,726.2434,2012/2/9 11:22:24,F-4
264188,264188,R2019081303584401400122,24.3753,125.334,5061.5318,730.4819,2012/2/9 11:23:24,F-4
264206,264206,R2019081303584401400122,24.152,125.1897,4898.0212,668.2374,2012/2/9 11:26:24,F-4
264240,264240,R2019081303584402908644,31.0466,129.9302,4998.4533,712.7656,2012/2/17 9:58:32,F-4
264244,264244,R2019081303584402908644,30.9898,129.8222,5038.2686,732.9043,2012/2/17 9:59:12,F-4
264280,264280,R2019081303584402908644,30.4775,129.3144,4636.1868,654.4671,2012/2/17 10:05:22,F-4
264288,264288,R2019081303584402908644,30.3773,129.1682,4966.8672,652.2268,2012/2/17 10:06:42,F-4
264296,264296,R2019081303584402908644,30.2606,129.0386,5142.7428,741.9557,2012/2/17 10:08:02,F-4
264301,264301,R2019081303584402908644,30.1939,128.9502,4948.7882,650.9737,2012/2/17 10:09:02,F-4
264303,264303,R2019081303584402908644,30.1801,128.9367,5109.5212,682.5195,2012/2/17 10:09:22,F-4
264342,264342,R2019081303584402908644,29.859,128.2714,4839.2583,719.581,2012/2/17 10:15:52,F-4
