,Unnamed: 0,ID,WD,JD,GD,SD,SJ,target
271080,271080,R2019081303584409203112,34.2993,122.0978,5021.6579,721.4394,2012/2/1 9:58:58,F-6
271090,271090,R2019081303584409203112,34.1341,122.1261,4962.5658,747.7496,2012/2/1 10:00:38,F-6
271127,271127,R2019081303584409203112,33.6603,122.233,4841.062,704.9721,2012/2/1 10:06:58,F-6
271133,271133,R2019081303584409203112,33.5264,122.305,4578.067,701.138,2012/2/1 10:07:58,F-6
271138,271138,R2019081303584409203112,33.4604,122.3366,4911.5647,746.1658,2012/2/1 10:08:48,F-6
271145,271145,R2019081303584409203112,33.3674,122.4056,5090.7614,670.6566,2012/2/1 10:09:58,F-6
271155,271155,R2019081303584409203112,33.2652,122.4974,5288.6767,696.5202,2012/2/1 10:11:38,F-6
271156,271156,R2019081303584409203112,33.2613,122.5102,4670.582,705.895,2012/2/1 10:11:48,F-6
271186,271186,R2019081303584409203112,32.7126,122.7286,5455.6813,723.1257,2012/2/1 10:16:58,F-6
271193,271193,R2019081303584409203112,32.5423,122.7271,5375.3024,695.7311,2012/2/1 10:18:08,F-6
271195,271195,R2019081303584409203112,32.5373,122.77,4916.9964,654.5448,2012/2/1 10:18:28,F-6
271197,271197,R2019081303584409203112,32.5333,122.7789,5226.2664,736.3597,2012/2/1 10:18:48,F-6
271199,271199,R2019081303584409203112,32.5244,122.7793,4746.0798,746.7699,2012/2/1 10:19:08,F-6
271217,271217,R2019081303584409203112,32.1966,122.8616,5490.7346,662.4796,2012/2/1 10:22:08,F-6
271219,271219,R2019081303584409203112,32.1758,122.8805,5184.4739,692.2709,2012/2/1 10:22:28,F-6
271222,271222,R2019081303584409203112,32.0978,122.8994,5411.9348,678.5638,2012/2/1 10:22:58,F-6
271237,271237,R2019081303584409203112,31.8654,123.0003,5439.3702,726.0395,2012/2/1 10:25:38,F-6
271239,271239,R2019081303584409203112,31.835,123.009,5369.0482,744.015,2012/2/1 10:25:58,F-6
271241,271241,R2019081303584409203112,31.8058,123.0098,4779.9742,743.818,2012/2/1 10:26:18,F-6
271244,271244,R2019081303584409203112,31.737,123.0009,4923.5695,722.002,2012/2/1 10:26:48,F-6
271250,271250,R2019081303584409203112,31.6329,123.0269,5248.7694,749.6142,2012/2/1 10:27:48,F-6
271254,271254,R2019081303584409203112,31.5669,123.0235,5467.2874,681.3859,2012/2/1 10:28:28,F-6
271260,271260,R2019081303584409203112,31.4623,123.0396,5164.2903,738.6004,2012/2/1 10:29:28,F-6
271270,271270,R2019081303584409203112,31.2912,123.1081,5456.0774,700.7823,2012/2/1 10:31:08,F-6
271274,271274,R2019081303584409203112,31.2487,123.1598,4867.1716,661.4585,2012/2/1 10:31:48,F-6
271275,271275,R2019081303584409203112,31.2432,123.1464,4786.6084,680.5094,2012/2/1 10:31:58,F-6
271281,271281,R2019081303584409203112,31.1256,123.1224,5472.1387,664.0652,2012/2/1 10:32:58,F-6
271309,271309,R2019081303584409203112,30.6564,123.1921,4609.15,655.4937,2012/2/1 10:37:58,F-6
271310,271310,R2019081303584409203112,30.6475,123.1997,4795.4005,725.1606,2012/2/1 10:38:08,F-6
271323,271323,R2019081303584409203112,30.4528,123.219,4901.7467,661.5636,2012/2/1 10:40:18,F-6
271342,271342,R2019081303584409203112,30.1186,123.2612,5353.2885,665.1774,2012/2/1 10:43:28,F-6
271368,271368,R2019081303584409203112,29.6158,123.2573,5138.1999,744.636,2012/2/1 10:47:58,F-6
271388,271388,R2019081303584409203112,29.3244,123.2773,5024.5147,736.8111,2012/2/1 10:51:18,F-6
271401,271401,R2019081303584409203112,28.9985,123.3022,4738.6545,702.673,2012/2/1 10:53:38,F-6
271412,271412,R2019081303584409203112,28.8539,123.3263,4897.2798,693.3796,2012/2/1 10:55:28,F-6
271415,271415,R2019081303584409203112,28.8031,123.3486,4610.2323,729.6706,2012/2/1 10:55:58,F-6
271425,271425,R2019081303584409203112,28.72,123.3567,5445.613,653.9412,2012/2/1 10:57:38,F-6
271427,271427,R2019081303584409203112,28.6853,123.3828,4898.4039,720.9164,2012/2/1 10:57:58,F-6
271428,271428,R2019081303584409203112,28.6871,123.3969,4729.0291,736.8484,2012/2/1 10:58:08,F-6
271506,271506,R2019081303584409203112,27.4087,124.0867,5133.4911,735.7462,2012/2/1 11:11:28,F-6
271509,271509,R2019081303584409203112,27.3181,124.1234,4942.2245,736.2025,2012/2/1 11:11:58,F-6
271518,271518,R2019081303584409203112,27.2274,124.226,5147.0701,652.4231,2012/2/1 11:13:28,F-6
271523,271523,R2019081303584409203112,27.1784,124.2998,4752.2595,729.5804,2012/2/1 11:14:18,F-6
271531,271531,R2019081303584409203112,27.1076,124.3517,5143.4084,669.1779,2012/2/1 11:15:38,F-6
