,Unnamed: 0,ID,WD,JD,GD,SD,SJ,target
172071,172071,R2019081303584320203230,36.7047,127.4965,4767.7819,675.4736,2012/2/1 10:31:27,F-3
172088,172088,R2019081303584320203230,36.7545,127.1118,4906.1396,686.2391,2012/2/1 10:34:27,F-3
172117,172117,R2019081303584320203230,36.8333,126.4682,5192.45,742.0291,2012/2/1 10:39:27,F-3
172207,172207,R2019081303584320203230,36.9755,124.4863,5175.2392,740.3668,2012/2/1 10:54:57,F-3
172274,172274,R2019081303584320203230,36.4714,123.3142,5233.1854,748.1956,2012/2/1 11:06:37,F-3
172293,172293,R2019081303584320203230,36.1419,123.2792,5287.372,732.7024,2012/2/1 11:09:57,F-3
172303,172303,R2019081303584320203230,36.0309,123.4488,4880.4358,741.3468,2012/2/1 11:11:47,F-3
172513,172513,R2019081303584320203230,35.4033,123.333,4746.4474,747.4979,2012/2/1 11:49:07,F-3
172617,172617,R2019081303584320203230,36.7303,124.6,4699.8044,748.8339,2012/2/1 12:07:37,F-3
173460,173460,R2019081303584321802590,35.7103,123.9497,4876.6831,721.974,2012/2/9 11:53:20,F-3
173465,173465,R2019081303584321802590,35.7694,124.0784,4914.1059,744.4278,2012/2/9 11:54:10,F-3
173550,173550,R2019081303584321802590,36.9106,124.5322,4731.681,683.6336,2012/2/9 12:09:10,F-3
173603,173603,R2019081303584321802590,37.7567,123.9761,4529.7055,734.13,2012/2/9 12:18:30,F-3
173605,173605,R2019081303584321802590,37.762,123.9651,4595.7703,721.0887,2012/2/9 12:18:50,F-3
173903,173903,R2019081303584321807898,36.8032,126.6874,4635.4063,685.7743,2012/2/17 10:34:25,F-3
173904,173904,R2019081303584321807898,36.7932,126.6552,5444.4896,725.4731,2012/2/17 10:34:35,F-3
173948,173948,R2019081303584321807898,36.9006,125.8725,5217.5883,745.6202,2012/2/17 10:42:15,F-3
174067,174067,R2019081303584321807898,36.7897,123.4236,4797.3303,686.0158,2012/2/17 11:02:55,F-3
174101,174101,R2019081303584321807898,36.1986,123.2721,4674.4661,733.0547,2012/2/17 11:08:55,F-3
174163,174163,R2019081303584321807898,35.6679,124.3935,5010.4134,737.9703,2012/2/17 11:20:05,F-3
