,Unnamed: 0,ID,WD,JD,GD,SD,SJ,target
9,9,R2019081303584128405106,33.2519,129.0786,5364.7778,725.329,2012/2/1 10:00:40,F-1
14,14,R2019081303584128405106,33.236,128.9771,4729.4296,664.9631,2012/2/1 10:01:30,F-1
20,20,R2019081303584128405106,33.2165,128.8531,5346.1647,724.3195,2012/2/1 10:02:30,F-1
48,48,R2019081303584128405106,33.1245,128.2528,4811.0442,700.1499,2012/2/1 10:07:20,F-1
144,144,R2019081303584128405106,32.8511,126.2738,4583.9455,676.7258,2012/2/1 10:23:30,F-1
279,279,R2019081303584128405106,32.587,123.5475,5456.3317,690.2266,2012/2/1 10:46:30,F-1
341,341,R2019081303584128405106,31.7772,124.1289,5167.4691,682.0595,2012/2/1 10:58:00,F-1
405,405,R2019081303584128405106,31.0125,124.3781,5114.6437,715.7899,2012/2/1 11:09:50,F-1
489,489,R2019081303584128405106,30.1384,123.9665,5288.3339,700.9812,2012/2/1 11:25:50,F-1
600,600,R2019081303584128405106,29.0506,122.8904,4790.2469,659.0832,2012/2/1 11:46:10,F-1
1172,1172,R2019081303584129903763,32.2114,123.4836,5357.5388,673.559,2012/2/9 10:54:56,F-1
1216,1216,R2019081303584129903763,31.7573,124.269,5272.97,664.647,2012/2/9 11:03:16,F-1
1217,1217,R2019081303584129903763,31.7638,124.2676,4877.3037,697.2423,2012/2/9 11:03:26,F-1
1265,1265,R2019081303584129903763,31.2321,124.6213,4816.7096,657.8334,2012/2/9 11:12:16,F-1
1302,1302,R2019081303584129903763,30.9645,123.9704,4562.9328,683.42,2012/2/9 11:19:06,F-1
1308,1308,R2019081303584129903763,30.8775,123.825,4545.6966,742.2054,2012/2/9 11:20:16,F-1
1425,1425,R2019081303584129903763,29.5027,123.9664,5141.883,746.4263,2012/2/9 11:42:26,F-1
1703,1703,R2019081303584129903763,26.2513,121.3598,4961.3302,655.2321,2012/2/9 12:34:26,F-1
2096,2096,R2019081303584131503375,31.9599,123.716,4518.5559,741.9415,2012/2/17 10:54:31,F-1
2341,2341,R2019081303584131503375,29.4386,123.3665,5050.6837,665.1411,2012/2/17 11:40:31,F-1
2377,2377,R2019081303584131503375,28.907,122.8154,5412.4743,734.9377,2012/2/17 11:47:31,F-1
2392,2392,R2019081303584131503375,28.6282,122.6511,5439.8465,704.7807,2012/2/17 11:50:21,F-1
2581,2581,R2019081303584131503375,26.0716,121.4152,4858.4627,717.7503,2012/2/17 12:26:01,F-1
2959,2959,R2019081303584133001148,31.9444,123.7401,4663.3862,686.0404,2012/2/25 11:01:49,F-1
2998,2998,R2019081303584133001148,31.6859,124.4696,5308.5807,730.7871,2012/2/25 11:09:09,F-1
3097,3097,R2019081303584133001148,30.5845,123.4948,5121.3529,725.9058,2012/2/25 11:27:39,F-1
3207,3207,R2019081303584133001148,29.4782,123.7393,4870.1211,703.0179,2012/2/25 11:47:59,F-1
3361,3361,R2019081303584133001148,27.5817,122.7049,4908.9991,695.8168,2012/2/25 12:16:59,F-1
3473,3473,R2019081303584133001148,26.4383,121.3301,5094.9288,665.0822,2012/2/25 12:37:39,F-1
3605,3605,R2019081303584134600479,33.0933,127.6336,5439.8234,672.3996,2012/3/4 10:14:19,F-1
3622,3622,R2019081303584134600479,32.9456,127.2644,5037.6554,660.1264,2012/3/4 10:17:09,F-1
3893,3893,R2019081303584134600479,31.7274,124.439,4500.9826,673.1515,2012/3/4 11:04:29,F-1
3902,3902,R2019081303584134600479,31.611,124.6125,5236.1114,703.209,2012/3/4 11:06:19,F-1
3963,3963,R2019081303584134600479,30.9156,123.9909,5359.5999,668.8967,2012/3/4 11:17:29,F-1
3967,3967,R2019081303584134600479,30.9168,123.8847,5103.3955,669.1448,2012/3/4 11:18:19,F-1
4103,4103,R2019081303584134600479,29.4146,123.5515,5479.8533,653.3349,2012/3/4 11:43:49,F-1
4161,4161,R2019081303584134600479,28.7999,122.7894,5127.1518,747.2471,2012/3/4 11:54:39,F-1
4249,4249,R2019081303584134600479,27.5608,122.6911,4705.3393,694.7607,2012/3/4 12:11:19,F-1
4283,4283,R2019081303584134600479,27.3824,122.0722,5370.8708,662.5062,2012/3/4 12:17:39,F-1
4325,4325,R2019081303584134600479,26.8853,121.4044,5249.6884,701.8551,2012/3/4 12:25:39,F-1
4516,4516,R2019081303584134600489,32.9387,127.2059,5492.0724,731.5718,2012/3/12 10:20:21,F-1
4522,4522,R2019081303584134600489,32.9451,127.0795,4551.884,739.8299,2012/3/12 10:21:21,F-1
4615,4615,R2019081303584134600489,32.7326,125.1733,5129.7338,685.616,2012/3/12 10:37:11,F-1
4693,4693,R2019081303584134600489,32.7587,123.6546,4595.2708,744.8136,2012/3/12 10:50:31,F-1
4874,4874,R2019081303584134600489,30.76,123.578,4569.0127,667.8411,2012/3/12 11:24:01,F-1
4886,4886,R2019081303584134600489,30.5796,123.5013,5140.7138,658.5065,2012/3/12 11:26:11,F-1
5040,5040,R2019081303584134600489,28.8979,122.835,5169.4186,669.2226,2012/3/12 11:55:11,F-1
5041,5041,R2019081303584134600489,28.8891,122.8136,4574.5309,668.3997,2012/3/12 11:55:31,F-1
5059,5059,R2019081303584134600489,28.6346,122.6202,4513.396,681.4699,2012/3/12 11:58:51,F-1
5109,5109,R2019081303584134600489,28.0063,122.5754,5212.9967,708.616,2012/3/12 12:08:21,F-1
5115,5115,R2019081303584134600489,27.9283,122.6223,5173.4986,663.101,2012/3/12 12:09:21,F-1
5158,5158,R2019081303584134600489,27.3865,122.2664,5398.5705,727.8852,2012/3/12 12:17:31,F-1
5161,5161,R2019081303584134600489,27.3522,122.2342,4682.9699,725.6742,2012/3/12 12:18:01,F-1
5183,5183,R2019081303584134600489,27.2084,121.817,4645.5175,678.1125,2012/3/12 12:22:11,F-1
5269,5269,R2019081303584134600489,26.0234,121.4279,4806.1982,695.3724,2012/3/12 12:38:01,F-1
5302,5302,R2019081303584134600489,25.5646,121.7211,4549.9133,699.1504,2012/3/12 12:44:01,F-1
5333,5333,R2019081303584136206704,33.1923,128.5826,5214.4689,711.6284,2012/3/20 10:04:52,F-1
5385,5385,R2019081303584136206704,33.0879,127.6236,5400.5108,670.4549,2012/3/20 10:13:42,F-1
5424,5424,R2019081303584136206704,32.9144,126.8936,5433.454,691.8164,2012/3/20 10:20:12,F-1
5470,5470,R2019081303584136206704,32.8191,125.8597,4660.7931,695.7938,2012/3/20 10:28:02,F-1
5520,5520,R2019081303584136206704,32.7856,124.8236,4705.102,663.0868,2012/3/20 10:36:32,F-1
5575,5575,R2019081303584136206704,32.7058,123.6613,4556.4802,706.5929,2012/3/20 10:46:12,F-1
5576,5576,R2019081303584136206704,32.7098,123.6393,4617.4417,658.5477,2012/3/20 10:46:22,F-1
5580,5580,R2019081303584136206704,32.6418,123.5839,4703.7299,741.3266,2012/3/20 10:47:02,F-1
5697,5697,R2019081303584136206704,31.1716,124.5873,5039.7661,659.8206,2012/3/20 11:08:42,F-1
5699,5699,R2019081303584136206704,31.1223,124.5329,4621.4563,666.767,2012/3/20 11:09:02,F-1
5701,5701,R2019081303584136206704,31.0711,124.4743,5034.6146,677.5732,2012/3/20 11:09:32,F-1
5726,5726,R2019081303584136206704,30.8963,123.8727,5215.5478,650.4018,2012/3/20 11:14:12,F-1
5767,5767,R2019081303584136206704,30.3055,123.687,4700.0649,682.267,2012/3/20 11:22:12,F-1
5819,5819,R2019081303584136206704,29.6029,124.17,5063.569,743.298,2012/3/20 11:32:02,F-1
5844,5844,R2019081303584136206704,29.5021,123.746,4504.1589,739.8571,2012/3/20 11:36:32,F-1
5939,5939,R2019081303584136206704,28.3087,122.455,5291.288,685.3152,2012/3/20 11:54:32,F-1
5994,5994,R2019081303584136206704,27.5264,122.6784,5204.378,675.2487,2012/3/20 12:05:02,F-1
5997,5997,R2019081303584136206704,27.5019,122.6352,5443.1266,664.2468,2012/3/20 12:05:32,F-1
6010,6010,R2019081303584136206704,27.4181,122.3528,4842.1365,658.1751,2012/3/20 12:08:02,F-1
6092,6092,R2019081303584136206704,26.6527,121.37,5493.4401,743.9059,2012/3/20 12:23:02,F-1
6096,6096,R2019081303584136206704,26.5958,121.3331,4958.6923,691.65,2012/3/20 12:23:52,F-1
6106,6106,R2019081303584136206704,26.4703,121.3233,4721.2955,707.5599,2012/3/20 12:25:32,F-1
6135,6135,R2019081303584136206704,26.0113,121.4302,5401.4804,651.6788,2012/3/20 12:30:52,F-1
6224,6224,R2019081303584136201897,33.0973,127.9821,5315.8782,670.0559,2012/3/28 10:12:52,F-1
6233,6233,R2019081303584136201897,33.0473,127.8166,4593.0564,698.9675,2012/3/28 10:14:22,F-1
6296,6296,R2019081303584136201897,32.9137,126.4942,4846.3138,706.2473,2012/3/28 10:25:02,F-1
6367,6367,R2019081303584136201897,32.811,124.8827,4849.1645,739.6364,2012/3/28 10:37:02,F-1
6487,6487,R2019081303584136201897,31.8578,123.9218,4500.4068,691.216,2012/3/28 10:58:22,F-1
6636,6636,R2019081303584136201897,30.524,123.527,4762.5139,671.7131,2012/3/28 11:26:02,F-1
6648,6648,R2019081303584136201897,30.3491,123.6447,4854.6818,734.9876,2012/3/28 11:28:22,F-1
6668,6668,R2019081303584136201897,30.151,123.9622,4897.0942,703.8842,2012/3/28 11:32:12,F-1
6706,6706,R2019081303584136201897,29.5977,124.1615,4904.9085,694.1571,2012/3/28 11:39:12,F-1
6717,6717,R2019081303584136201897,29.506,123.9581,4733.6567,650.3129,2012/3/28 11:41:22,F-1
6870,6870,R2019081303584136201897,27.5413,122.6646,5241.522,681.2402,2012/3/28 12:10:22,F-1
6908,6908,R2019081303584136201897,27.3296,121.9388,4942.7167,670.0679,2012/3/28 12:17:22,F-1
6926,6926,R2019081303584136201897,27.1121,121.7013,4554.3318,741.6777,2012/3/28 12:20:42,F-1
6950,6950,R2019081303584136201897,26.8024,121.3696,4876.1732,695.8127,2012/3/28 12:25:12,F-1
7159,7159,R2019081303584137702412,32.8709,126.464,5104.9558,714.3635,2012/4/5 10:19:31,F-1
7315,7315,R2019081303584137702412,32.5432,123.5316,5056.2948,685.1121,2012/4/5 10:46:11,F-1
7404,7404,R2019081303584137702412,31.6166,124.5927,5180.3512,669.6741,2012/4/5 11:02:31,F-1
7503,7503,R2019081303584137702412,30.5602,123.5049,4852.2959,708.1056,2012/4/5 11:21:01,F-1
7504,7504,R2019081303584137702412,30.5575,123.5238,4500.9694,676.7006,2012/4/5 11:21:11,F-1
7587,7587,R2019081303584137702412,29.5332,124.0469,5420.7751,709.7924,2012/4/5 11:36:51,F-1
7609,7609,R2019081303584137702412,29.5093,123.7347,5142.6987,738.6109,2012/4/5 11:40:41,F-1
