,Unnamed: 0,ID,WD,JD,GD,SD,SJ,target
268372,268372,R2019081303584407603967,38.8649,124.3202,5430.0555,697.9918,2012/2/1 10:02:14,F-5
268376,268376,R2019081303584407603967,38.7777,124.3092,4675.2917,675.7458,2012/2/1 10:02:54,F-5
268390,268390,R2019081303584407603967,38.4193,124.2417,4693.9181,741.098,2012/2/1 10:05:24,F-5
268423,268423,R2019081303584407603967,37.9023,124.2403,5326.3005,680.6865,2012/2/1 10:11:04,F-5
268425,268425,R2019081303584407603967,37.9007,124.2996,5021.9788,716.1367,2012/2/1 10:11:24,F-5
268434,268434,R2019081303584407603967,37.7943,124.444,4656.6081,745.3222,2012/2/1 10:12:54,F-5
268441,268441,R2019081303584407603967,37.7049,124.526,5363.6839,660.0131,2012/2/1 10:14:04,F-5
268450,268450,R2019081303584407603967,37.5189,124.5558,4591.151,729.6363,2012/2/1 10:15:44,F-5
268453,268453,R2019081303584407603967,37.4679,124.5966,5376.5075,689.1169,2012/2/1 10:16:14,F-5
268458,268458,R2019081303584407603967,37.3439,124.6292,4732.5464,678.7282,2012/2/1 10:17:04,F-5
268478,268478,R2019081303584407603967,36.9506,124.6669,5166.9342,687.1203,2012/2/1 10:20:34,F-5
268486,268486,R2019081303584407603967,36.8312,124.6726,4534.5723,659.343,2012/2/1 10:21:54,F-5
268495,268495,R2019081303584407603967,36.7095,124.6944,5048.3341,697.8957,2012/2/1 10:23:34,F-5
268540,268540,R2019081303584407603967,36.2141,125.3685,5209.3408,659.6042,2012/2/1 10:31:14,F-5
268545,268545,R2019081303584407603967,36.1245,125.3742,4696.2729,672.6292,2012/2/1 10:32:04,F-5
268548,268548,R2019081303584407603967,36.0632,125.4081,4812.2903,743.992,2012/2/1 10:32:34,F-5
268548,268548,R2019081303584407603967,36.0632,125.4081,4812.2903,743.992,2012/2/1 10:32:34,F-5
268552,268552,R2019081303584407603967,35.9766,125.4204,5401.1052,664.2431,2012/2/1 10:33:14,F-5
268555,268555,R2019081303584407603967,35.9262,125.3932,5281.8047,690.8718,2012/2/1 10:33:44,F-5
268556,268556,R2019081303584407603967,35.9147,125.4067,4666.6449,691.6716,2012/2/1 10:33:54,F-5
