Unnamed: 0,Unnamed: 0.1,ID,WD,JD,GD,SD,SJ,target,new
88721,88721,R2019081303584228201177,32.3665,126.9188,4949.7997,651.2722,2012/2/1 10:15:41,F-2,"126.9188,32.3665"
88765,88765,R2019081303584228201177,32.1358,126.0426,5036.5667,670.0709,2012/2/1 10:23:21,F-2,"126.0426,32.1358"
88881,88881,R2019081303584228201177,31.4881,123.7735,5291.346,672.9254,2012/2/1 10:43:31,F-2,"123.7735,31.4881"
88988,88988,R2019081303584228201177,30.5017,124.8383,4863.2303,743.0498,2012/2/1 11:02:51,F-2,"124.8383,30.5017"
89101,89101,R2019081303584228201177,31.8029,124.2267,4902.9719,666.1354,2012/2/1 11:23:01,F-2,"124.2267,31.8029"
89310,89310,R2019081303584228201177,28.9484,124.348,4636.2254,653.9976,2012/2/1 12:02:01,F-2,"124.348,28.9484"
89387,89387,R2019081303584228201177,28.5197,125.85600000000001,5116.3335,724.365,2012/2/1 12:15:41,F-2,"125.85600000000001,28.5197"
89397,89397,R2019081303584228201177,28.4997,126.0673,5395.1194,652.7432,2012/2/1 12:17:31,F-2,"126.0673,28.4997"
89427,89427,R2019081303584228201177,28.5272,126.7142,5453.5234,739.8698,2012/2/1 12:22:51,F-2,"126.7142,28.5272"
89468,89468,R2019081303584229801872,32.5053,127.8818,4711.1575,733.5542,2012/2/9 10:01:21,F-2,"127.8818,32.5053"
89492,89492,R2019081303584229801872,32.4106,127.4015,5350.6398,662.2856,2012/2/9 10:05:31,F-2,"127.4015,32.4106"
89590,89590,R2019081303584229801872,31.9062,125.3657,4658.9591,672.2346,2012/2/9 10:22:41,F-2,"125.3657,31.9062"
89650,89650,R2019081303584229801872,31.8043,124.189,4649.166,742.6152,2012/2/9 10:33:01,F-2,"124.189,31.8043"
89670,89670,R2019081303584229801872,31.635,123.913,5073.4256,706.2624,2012/2/9 10:36:31,F-2,"123.913,31.635"
89681,89681,R2019081303584229801872,31.4992,123.7722,5121.2068,723.0784,2012/2/9 10:38:31,F-2,"123.7722,31.4992"
89685,89685,R2019081303584229801872,31.3899,123.7044,5180.5484,701.7551,2012/2/9 10:39:21,F-2,"123.7044,31.3899"
89714,89714,R2019081303584229801872,30.8909,123.5905,5328.5106,738.5623,2012/2/9 10:44:31,F-2,"123.5905,30.8909"
89783,89783,R2019081303584229801872,30.4576,124.7403,5373.3824,707.8929,2012/2/9 10:57:01,F-2,"124.7403,30.4576"
89959,89959,R2019081303584229801872,31.3342,123.3908,5123.2887,696.1974,2012/2/9 11:29:31,F-2,"123.3908,31.3342"
90026,90026,R2019081303584229801872,30.2481,123.3169,4589.0937,700.8666,2012/2/9 11:41:51,F-2,"123.3169,30.2481"
90034,90034,R2019081303584229801872,30.0663,123.3034,4834.0451,741.2135,2012/2/9 11:43:11,F-2,"123.3034,30.0663"
90205,90205,R2019081303584229801872,28.500999999999998,125.9373,5007.8742,732.3483,2012/2/9 12:13:51,F-2,"125.9373,28.500999999999998"
90228,90228,R2019081303584229801872,28.4926,126.4264,4748.5686,702.2735,2012/2/9 12:18:01,F-2,"126.4264,28.4926"
90234,90234,R2019081303584229801872,28.5078,126.5272,5241.0784,708.5378,2012/2/9 12:19:01,F-2,"126.5272,28.5078"
90266,90266,R2019081303584231306127,32.5535,128.2438,5264.1219,704.0485,2012/2/17 9:56:29,F-2,"128.2438,32.5535"
90300,90300,R2019081303584231306127,32.4576,127.6302,4917.4186,658.4479,2012/2/17 10:02:09,F-2,"127.6302,32.4576"
90425,90425,R2019081303584231306127,31.9164,125.2561,5386.4421,739.0085,2012/2/17 10:23:59,F-2,"125.2561,31.9164"
90505,90505,R2019081303584231306127,31.5291,123.8042,4766.4312,680.7328,2012/2/17 10:37:59,F-2,"123.8042,31.5291"
90580,90580,R2019081303584231306127,30.5333,123.9383,4910.8265,691.8412,2012/2/17 10:51:29,F-2,"123.9383,30.5333"
90665,90665,R2019081303584231306127,31.0187,125.2202,4979.5872,699.4535,2012/2/17 11:06:39,F-2,"125.2202,31.0187"
90746,90746,R2019081303584231306127,31.8015,124.2933,4656.3258,680.5445,2012/2/17 11:21:19,F-2,"124.2933,31.8015"
90752,90752,R2019081303584231306127,31.801,124.1162,4997.1225,692.2269,2012/2/17 11:22:29,F-2,"124.1162,31.801"
90756,90756,R2019081303584231306127,31.7832,123.9784,4726.9268,687.8155,2012/2/17 11:23:29,F-2,"123.9784,31.7832"
90782,90782,R2019081303584231306127,31.4794,123.5024,4720.6763,682.6389999999999,2012/2/17 11:28:29,F-2,"123.5024,31.4794"
90818,90818,R2019081303584231306127,31.0014,123.2964,5112.7182,705.6072,2012/2/17 11:35:09,F-2,"123.2964,31.0014"
91045,91045,R2019081303584231306127,28.5062,125.9102,5066.9101,745.9423,2012/2/17 12:15:59,F-2,"125.9102,28.5062"
91098,91098,R2019081303584231306127,28.5382,126.9848,5491.2202,656.2205,2012/2/17 12:25:29,F-2,"126.9848,28.5382"
91120,91120,R2019081303584231302299,32.4807,127.9857,4777.1955,709.3707,2012/2/25 9:59:57,F-2,"127.9857,32.4807"
91122,91122,R2019081303584231302299,32.4885,127.9263,5125.6676,661.8779,2012/2/25 10:00:17,F-2,"127.9263,32.4885"
91266,91266,R2019081303584231302299,31.8712,125.0474,4961.5069,695.2293,2012/2/25 10:25:17,F-2,"125.0474,31.8712"
91270,91270,R2019081303584231302299,31.8558,124.95700000000001,4821.2581,729.3549,2012/2/25 10:25:57,F-2,"124.95700000000001,31.8558"
91292,91292,R2019081303584231302299,31.8249,124.5181,4719.9004,654.3682,2012/2/25 10:29:47,F-2,"124.5181,31.8249"
91345,91345,R2019081303584231302299,31.3778,123.6973,5490.103,673.9459,2012/2/25 10:39:17,F-2,"123.6973,31.3778"
91435,91435,R2019081303584231302299,30.4146,124.5858,4588.9031,677.2658,2012/2/25 10:55:37,F-2,"124.5858,30.4146"
91478,91478,R2019081303584231302299,30.807,125.21,4542.9159,732.1695,2012/2/25 11:03:17,F-2,"125.21,30.807"
91534,91534,R2019081303584231302299,31.6772,124.9408,4744.148,700.813,2012/2/25 11:13:07,F-2,"124.9408,31.6772"
91625,91625,R2019081303584231302299,31.2442,123.3609,4794.5084,655.97,2012/2/25 11:30:37,F-2,"123.3609,31.2442"
91695,91695,R2019081303584231302299,30.0546,123.2785,5054.8331,710.64,2012/2/25 11:43:17,F-2,"123.2785,30.0546"
91715,91715,R2019081303584231302299,29.7196,123.2871,4965.5081,671.1607,2012/2/25 11:46:57,F-2,"123.2871,29.7196"
91803,91803,R2019081303584231302299,28.8062,124.5979,5400.9371,689.8482,2012/2/25 12:02:37,F-2,"124.5979,28.8062"
91806,91806,R2019081303584231302299,28.7761,124.6502,4781.8564,703.9043,2012/2/25 12:03:07,F-2,"124.6502,28.7761"
91841,91841,R2019081303584231302299,28.6687,125.2444,5499.3178,714.8094,2012/2/25 12:09:17,F-2,"125.2444,28.6687"
91905,91905,R2019081303584231302299,28.5105,126.3972,4671.1905,737.7347,2012/2/25 12:20:47,F-2,"126.3972,28.5105"
91910,91910,R2019081303584231302299,28.4874,126.5215,5098.9623,693.1287,2012/2/25 12:21:37,F-2,"126.5215,28.4874"
92087,92087,R2019081303584232905636,31.8746,125.2061,5076.4111,659.1521,2012/3/4 10:22:35,F-2,"125.2061,31.8746"
92171,92171,R2019081303584232905636,31.4629,123.77799999999999,5256.8616,674.1272,2012/3/4 10:37:15,F-2,"123.77799999999999,31.4629"
92181,92181,R2019081303584232905636,31.2868,123.6619,5405.5875,679.4943,2012/3/4 10:39:05,F-2,"123.6619,31.2868"
92365,92365,R2019081303584232905636,31.6146,125.0481,4764.3048,676.596,2012/3/4 11:12:05,F-2,"125.0481,31.6146"
92468,92468,R2019081303584232905636,31.1816,123.3449,4675.6882,742.3288,2012/3/4 11:31:35,F-2,"123.3449,31.1816"
92636,92636,R2019081303584232905636,28.8958,124.4763,5052.98,723.8026,2012/3/4 12:01:55,F-2,"124.4763,28.8958"
92650,92650,R2019081303584232905636,28.7709,124.7274,4954.3618,679.0873,2012/3/4 12:04:15,F-2,"124.7274,28.7709"
92661,92661,R2019081303584232905636,28.697,124.9736,5444.9187,730.3298,2012/3/4 12:06:15,F-2,"124.9736,28.697"
92712,92712,R2019081303584232905636,28.5405,125.8481,4636.1102,679.4607,2012/3/4 12:15:15,F-2,"125.8481,28.5405"
92731,92731,R2019081303584232905636,28.4935,126.1649,4642.5731,726.8928,2012/3/4 12:18:45,F-2,"126.1649,28.4935"
92755,92755,R2019081303584232905636,28.5254,126.6829,4707.5281,681.6629,2012/3/4 12:23:05,F-2,"126.6829,28.5254"
92784,92784,R2019081303584232904384,32.4994,128.1456,4622.3979,663.5149,2012/3/12 9:59:05,F-2,"128.1456,32.4994"
92826,92826,R2019081303584232904384,32.3649,127.3146,4658.1876,733.1051,2012/3/12 10:06:15,F-2,"127.3146,32.3649"
92852,92852,R2019081303584232904384,32.3744,126.7565,4964.5723,690.5941,2012/3/12 10:10:55,F-2,"126.7565,32.3744"
92864,92864,R2019081303584232904384,32.2932,126.5451,4851.6536,723.053,2012/3/12 10:12:55,F-2,"126.5451,32.2932"
92867,92867,R2019081303584232904384,32.3011,126.4989,4740.688,748.6517,2012/3/12 10:13:25,F-2,"126.4989,32.3011"
93000,93000,R2019081303584232904384,31.6647,123.9735,5393.2412,707.4810000000001,2012/3/12 10:36:35,F-2,"123.9735,31.6647"
93103,93103,R2019081303584232904384,30.4011,124.2391,5320.5193,670.2946,2012/3/12 10:55:05,F-2,"124.2391,30.4011"
93189,93189,R2019081303584232904384,31.2294,125.2387,4718.3103,670.9506,2012/3/12 11:10:25,F-2,"125.2387,31.2294"
93259,93259,R2019081303584232904384,31.799,124.2018,5073.6176,669.9504,2012/3/12 11:23:15,F-2,"124.2018,31.799"
93310,93310,R2019081303584232904384,31.3307,123.4049,5373.933000000001,714.3517,2012/3/12 11:33:05,F-2,"123.4049,31.3307"
93401,93401,R2019081303584232904384,29.7715,123.2905,5268.1495,690.0223,2012/3/12 11:49:45,F-2,"123.2905,29.7715"
93418,93418,R2019081303584232904384,29.5086,123.3349,4829.2775,733.5376,2012/3/12 11:52:45,F-2,"123.3349,29.5086"
93435,93435,R2019081303584232904384,29.3642,123.5181,5055.9957,712.1401,2012/3/12 11:55:45,F-2,"123.5181,29.3642"
93578,93578,R2019081303584232904384,28.4852,126.1299,5085.9316,654.0884,2012/3/12 12:21:15,F-2,"126.1299,28.4852"
93672,93672,R2019081303584234403343,32.356,127.2746,4772.8956,737.3338,2012/3/20 10:09:29,F-2,"127.2746,32.356"
93789,93789,R2019081303584234403343,31.944000000000003,125.0121,5254.8132,729.5615,2012/3/20 10:29:39,F-2,"125.0121,31.944000000000003"
93864,93864,R2019081303584234403343,31.3583,123.699,4764.2542,720.1353,2012/3/20 10:42:59,F-2,"123.699,31.3583"
93876,93876,R2019081303584234403343,31.1512,123.5926,5144.2266,730.9783,2012/3/20 10:45:09,F-2,"123.5926,31.1512"
93888,93888,R2019081303584234403343,30.8983,123.5875,4641.8107,728.0918,2012/3/20 10:47:19,F-2,"123.5875,30.8983"
93911,93911,R2019081303584234403343,30.5376,123.8988,5130.8856,737.1061,2012/3/20 10:51:39,F-2,"123.8988,30.5376"
93913,93913,R2019081303584234403343,30.5052,123.9123,4964.2172,677.569,2012/3/20 10:51:59,F-2,"123.9123,30.5052"
93915,93915,R2019081303584234403343,30.49,123.9749,5243.9123,710.7747,2012/3/20 10:52:19,F-2,"123.9749,30.49"
93978,93978,R2019081303584234403343,30.7507,125.1856,5497.9819,651.847,2012/3/20 11:03:39,F-2,"125.1856,30.7507"
94028,94028,R2019081303584234403343,31.4534,125.1539,5326.0591,719.9963,2012/3/20 11:12:29,F-2,"125.1539,31.4534"
94181,94181,R2019081303584234403343,30.3143,123.31700000000001,4793.1146,731.4667,2012/3/20 11:41:19,F-2,"123.31700000000001,30.3143"
94220,94220,R2019081303584234403343,29.6701,123.27799999999999,5382.8161,696.1565,2012/3/20 11:48:19,F-2,"123.27799999999999,29.6701"
94234,94234,R2019081303584234403343,29.4544,123.4073,5426.2255,689.6707,2012/3/20 11:50:49,F-2,"123.4073,29.4544"
94251,94251,R2019081303584234403343,29.2735,123.6315,5465.4837,715.7431,2012/3/20 11:53:49,F-2,"123.6315,29.2735"
94348,94348,R2019081303584234403343,28.6476,125.3009,4857.1464,687.3403,2012/3/20 12:10:59,F-2,"125.3009,28.6476"
94388,94388,R2019081303584234403343,28.4983,126.1197,4763.0947,696.9887,2012/3/20 12:18:19,F-2,"126.1197,28.4983"
94445,94445,R2019081303584234402965,32.4705,128.0024,5295.5467,650.8057,2012/3/28 10:04:10,F-2,"128.0024,32.4705"
94462,94462,R2019081303584234402965,32.4295,127.6239,4804.7692,706.7773,2012/3/28 10:07:10,F-2,"127.6239,32.4295"
94731,94731,R2019081303584234402965,30.487,123.9541,5271.4767,745.6848,2012/3/28 10:54:30,F-2,"123.9541,30.487"
94761,94761,R2019081303584234402965,30.3877,124.5185,5439.905,746.0019,2012/3/28 10:59:50,F-2,"124.5185,30.3877"
94881,94881,R2019081303584234402965,31.7829,124.492,4834.3919,677.8702,2012/3/28 11:21:30,F-2,"124.492,31.7829"
94938,94938,R2019081303584234402965,31.4034,123.4388,5334.4339,671.2794,2012/3/28 11:32:30,F-2,"123.4388,31.4034"
95032,95032,R2019081303584234402965,29.8302,123.2838,5155.5125,703.0791,2012/3/28 11:49:50,F-2,"123.2838,29.8302"
95063,95063,R2019081303584234402965,29.2663,123.6767,4705.3171,682.8765,2012/3/28 11:55:30,F-2,"123.6767,29.2663"
95133,95133,R2019081303584234402965,28.7457,124.848,4668.8577,669.3259,2012/3/28 12:07:50,F-2,"124.848,28.7457"
