Unnamed: 0,ID,WD,JD,GD,SD,SJ,target,new
88657,R2019081303584228201177,32.5345281840649,128.234014011184,4631.600680822321,740.3408664233708,2012/2/1 10:04:41,F-2,"128.234014011184,32.5345281840649"
88658,R2019081303584228201177,32.5314811766497,128.213792663159,5131.651972714651,718.866407996447,2012/2/1 10:04:51,F-2,"128.213792663159,32.5314811766497"
88659,R2019081303584228201177,32.5282588785776,128.192408005404,5217.55476795023,711.551669315226,2012/2/1 10:05:01,F-2,"128.192408005404,32.5282588785776"
88660,R2019081303584228201177,32.525009392589105,128.170842916082,4638.85034487529,655.738849055832,2012/2/1 10:05:11,F-2,"128.170842916082,32.525009392589105"
88661,R2019081303584228201177,32.521788014098895,128.149464361097,5196.66555090652,657.045912652763,2012/2/1 10:05:21,F-2,"128.149464361097,32.521788014098895"
88662,R2019081303584228201177,32.518668712639396,128.128763236416,4958.706151442,670.490608699848,2012/2/1 10:05:31,F-2,"128.128763236416,32.518668712639396"
88663,R2019081303584228201177,32.5156322524171,128.108611884434,4749.38233860274,730.326246507618,2012/2/1 10:05:41,F-2,"128.108611884434,32.5156322524171"
88664,R2019081303584228201177,32.5124439097329,128.08745257030898,5100.39587300289,699.513637483825,2012/2/1 10:05:51,F-2,"128.08745257030898,32.5124439097329"
88665,R2019081303584228201177,32.5094138549055,128.067343727485,4575.3006986693,724.6118864391991,2012/2/1 10:06:01,F-2,"128.067343727485,32.5094138549055"
88666,R2019081303584228201177,32.5065393876723,128.048267435771,5465.16201876344,651.330938004577,2012/2/1 10:06:11,F-2,"128.048267435771,32.5065393876723"
88667,R2019081303584228201177,32.503532713001,128.028313754457,5200.93109677589,742.643591665031,2012/2/1 10:06:21,F-2,"128.028313754457,32.503532713001"
88668,R2019081303584228201177,32.5004888125228,128.00811302550198,5481.29096253835,670.674311332719,2012/2/1 10:06:31,F-2,"128.00811302550198,32.5004888125228"
88669,R2019081303584228201177,32.4973875752233,127.987531782927,4562.04708342536,672.9957928522472,2012/2/1 10:06:41,F-2,"127.987531782927,32.4973875752233"
88670,R2019081303584228201177,32.49446894448961,127.968162401834,4587.933242361961,686.613435454952,2012/2/1 10:06:51,F-2,"127.968162401834,32.49446894448961"
88671,R2019081303584228201177,32.4913854238132,127.94769873495001,5047.94363423621,695.699261755542,2012/2/1 10:07:01,F-2,"127.94769873495001,32.4913854238132"
