ID,WD,JD,GD,SD,SJ,target,Unnamed: 7,new
R2019081304382083600874,32.5028829392807,128.539677475335,4713.21057119091,732.972696182771,2012/2/1 9:56:17,F-2,,"128.539677475335,32.5028829392807"
R2019081304382083600874,32.5066028211687,128.524687893382,5324.62553671777,691.6995328113901,2012/2/1 9:56:27,F-2,,"128.524687893382,32.5066028211687"
R2019081304382083600874,32.511831120001105,128.491755211038,4826.8122413786205,721.709942385419,2012/2/1 9:56:37,F-2,,"128.491755211038,32.511831120001105"
R2019081304382083600874,32.4960007762712,128.454330459909,5314.85440945945,715.651591571817,2012/2/1 9:56:47,F-2,,"128.454330459909,32.4960007762712"
R2019081304382083600874,32.5122577214592,128.450483285707,5314.145276702079,726.4286855125929,2012/2/1 9:56:57,F-2,,"128.450483285707,32.5122577214592"
R2019081304382083600874,32.518171342309195,128.441486312018,5415.99498545564,731.3856853085499,2012/2/1 9:57:07,F-2,,"128.441486312018,32.518171342309195"
R2019081304382083600874,32.503432412805,128.40837852354701,5202.66138888088,733.3571732898039,2012/2/1 9:57:17,F-2,,"128.40837852354701,32.503432412805"
R2019081304382083600874,32.4892792721092,128.384102884143,5215.59676421601,738.5379479678991,2012/2/1 9:57:27,F-2,,"128.384102884143,32.4892792721092"
R2019081304382083600874,32.4992359587124,128.362926440247,4977.49684866401,717.6908584161149,2012/2/1 9:57:37,F-2,,"128.362926440247,32.4992359587124"
R2019081304382083600874,32.497585671392606,128.326684047421,4654.242994335589,738.3615393137379,2012/2/1 9:57:47,F-2,,"128.326684047421,32.497585671392606"
R2019081304382083600874,32.513618684551396,128.317252017805,4797.432845131229,668.812292729883,2012/2/1 9:57:57,F-2,,"128.317252017805,32.513618684551396"
R2019081304382083600874,32.5241265993014,128.300424451519,4780.59309920324,651.558168512563,2012/2/1 9:58:07,F-2,,"128.300424451519,32.5241265993014"
R2019081304382083600874,32.5137103975459,128.261842492488,4512.18597824321,700.1000342658259,2012/2/1 9:58:17,F-2,,"128.261842492488,32.5137103975459"
R2019081304382083600874,32.506996466267196,128.222875843042,4613.6689312354,651.443803497331,2012/2/1 9:58:27,F-2,,"128.222875843042,32.506996466267196"
R2019081304382083600874,32.498322696479,128.222139470996,4879.4272865073,744.0919151502161,2012/2/1 9:58:37,F-2,,"128.222139470996,32.498322696479"
R2019081304382083600874,32.4941357759113,128.1891838,4799.28652956117,678.679000646192,2012/2/1 9:58:47,F-2,,"128.1891838,32.4941357759113"
R2019081304382083600874,32.485445737911704,128.164532851207,5291.77890987684,715.961385874991,2012/2/1 9:58:57,F-2,,"128.164532851207,32.485445737911704"
R2019081304382083600874,32.486705228968,128.138898743695,5393.41406426086,703.613888776681,2012/2/1 9:59:07,F-2,,"128.138898743695,32.486705228968"
R2019081304382083600874,32.5117388174584,128.128525013156,4641.63008525112,710.478638047575,2012/2/1 9:59:17,F-2,,"128.128525013156,32.5117388174584"
R2019081304382083600874,32.5135439372449,128.09142472391198,4610.71359557599,726.9946461901981,2012/2/1 9:59:37,F-2,,"128.09142472391198,32.5135439372449"
R2019081304382083600874,32.5132556897071,128.07179756218,4834.12268214585,730.869564079153,2012/2/1 9:59:47,F-2,,"128.07179756218,32.5132556897071"
R2019081304382083600874,32.4937251926158,128.039800982256,4557.49702595989,721.6295155564461,2012/2/1 9:59:57,F-2,,"128.039800982256,32.4937251926158"
R2019081304382083600874,32.4767065745045,128.03157633944,5137.13471202046,720.9221432781419,2012/2/1 10:00:07,F-2,,"128.03157633944,32.4767065745045"
R2019081304382083600874,32.457171176364696,128.018333525716,5271.904395787,662.1023970712449,2012/2/1 10:00:17,F-2,,"128.018333525716,32.457171176364696"
R2019081304382083600874,32.4727076290142,127.98261488040501,5215.41678147177,729.9289066251041,2012/2/1 10:00:27,F-2,,"127.98261488040501,32.4727076290142"
R2019081304382083600874,32.4825893523478,127.974254740088,4558.45793944712,732.503926047359,2012/2/1 10:00:37,F-2,,"127.974254740088,32.4825893523478"
R2019081304382083600874,32.486741049503195,127.96100434433201,4512.2695290540705,704.890026317393,2012/2/1 10:00:47,F-2,,"127.96100434433201,32.486741049503195"
R2019081304382083600874,32.497084415730804,127.951045354366,4856.27765783867,670.201620562096,2012/2/1 10:00:57,F-2,,"127.951045354366,32.497084415730804"
R2019081304382083600874,32.4843974093834,127.934208981581,5411.33683869212,704.728935451586,2012/2/1 10:01:07,F-2,,"127.934208981581,32.4843974093834"
R2019081304382083600874,32.486171524281396,127.897285721783,5141.87296928925,652.758789389748,2012/2/1 10:01:17,F-2,,"127.897285721783,32.486171524281396"
R2019081304382083600874,32.4835026649046,127.886413245998,4914.825670614289,749.8042066114971,2012/2/1 10:01:27,F-2,,"127.886413245998,32.4835026649046"
R2019081304382083600874,32.4978624258358,127.86862307700599,4741.36296065588,659.327885931976,2012/2/1 10:01:37,F-2,,"127.86862307700599,32.4978624258358"
R2019081304382083600874,32.4820416876867,127.846203680525,4733.25514431729,715.783721611734,2012/2/1 10:01:47,F-2,,"127.846203680525,32.4820416876867"
R2019081304382083600874,32.4919253452396,127.81104000946699,5434.78856977764,719.6951903727349,2012/2/1 10:01:57,F-2,,"127.81104000946699,32.4919253452396"
R2019081304382083600874,32.4887977275077,127.804708961984,4508.28659395142,726.474631287379,2012/2/1 10:02:07,F-2,,"127.804708961984,32.4887977275077"
R2019081304382083600874,32.4771231098319,127.79689929653999,4650.78142338934,738.795222755892,2012/2/1 10:02:17,F-2,,"127.79689929653999,32.4771231098319"
R2019081304382083600874,32.4695941492944,127.763549589372,5469.35559528384,668.316629118434,2012/2/1 10:02:27,F-2,,"127.763549589372,32.4695941492944"
R2019081304382083600874,32.484737565152194,127.73180837628999,4810.90509440326,663.407459255963,2012/2/1 10:02:37,F-2,,"127.73180837628999,32.484737565152194"
R2019081304382083600874,32.4665565955584,127.725414175689,5257.3497857699895,746.065324496508,2012/2/1 10:02:47,F-2,,"127.725414175689,32.4665565955584"
R2019081304382083600874,32.4508995183177,127.69858229356899,4997.03352316145,681.403421019857,2012/2/1 10:02:57,F-2,,"127.69858229356899,32.4508995183177"
R2019081304382083600874,32.4297342901608,127.668848603662,5003.03581380427,659.2799324119841,2012/2/1 10:03:07,F-2,,"127.668848603662,32.4297342901608"
R2019081304382083600874,32.4433643549798,127.63650731320699,5056.20226522731,748.9755472163561,2012/2/1 10:03:17,F-2,,"127.63650731320699,32.4433643549798"
R2019081304382083600874,32.4336061437854,127.606225090555,4914.36644243745,744.249743593042,2012/2/1 10:03:27,F-2,,"127.606225090555,32.4336061437854"
R2019081304382083600874,32.4219320307072,127.56479932900601,4533.339134898661,718.8481620833501,2012/2/1 10:03:37,F-2,,"127.56479932900601,32.4219320307072"
R2019081304382083600874,32.4237063266037,127.53077447979601,5245.250763718621,688.6046809324091,2012/2/1 10:03:47,F-2,,"127.53077447979601,32.4237063266037"
