,ID,WD,JD,GD,SD,SJ,target
0,R2019081303584128405106,33.2813802634872,129.266576004151,4834.27411147127,710.645499062094,2012-02-01 09:59:10,F-1
1,R2019081303584128405106,33.278171318806,129.246120800113,4991.12336500134,692.589643012076,2012-02-01 09:59:20,F-1
2,R2019081303584128405106,33.2751609569119,129.22693144881902,4657.69452795279,698.001736657695,2012-02-01 09:59:30,F-1
3,R2019081303584128405106,33.272053613401496,129.207123894675,5109.03943544675,695.997708871028,2012-02-01 09:59:40,F-1
4,R2019081303584128405106,33.268620233029104,129.18523804027902,4838.02085013037,651.922657155396,2012-02-01 09:59:50,F-1
5,R2019081303584128405106,33.2653714715768,129.164529026887,5401.30565636852,727.145283379194,2012-02-01 10:00:00,F-1
6,R2019081303584128405106,33.261959476875,129.14277949402398,5244.06297213587,678.578804632918,2012-02-01 10:00:10,F-1
7,R2019081303584128405106,33.2585886839148,129.121292598916,4810.34592041296,733.8482087868491,2012-02-01 10:00:20,F-1
8,R2019081303584128405106,33.2553191394057,129.100451105314,5442.88028354891,668.990643796972,2012-02-01 10:00:30,F-1
9,R2019081303584128405106,33.251890979912,129.078598531062,5364.7777931135,725.328969804258,2012-02-01 10:00:40,F-1
10,R2019081303584128405106,33.2488525307705,129.059230139481,4579.71354717375,678.10486486559,2012-02-01 10:00:50,F-1
11,R2019081303584128405106,33.245494255474,129.037823037387,5333.95532650592,676.8434140490572,2012-02-01 10:01:00,F-1
12,R2019081303584128405106,33.242404730897896,129.018129068852,5069.45147205584,702.4590773752229,2012-02-01 10:01:10,F-1
13,R2019081303584128405106,33.2390265427505,128.99659503361602,4510.09441679814,723.595439444108,2012-02-01 10:01:20,F-1
14,R2019081303584128405106,33.235968992446104,128.977104882945,4729.4296101804,664.963116829732,2012-02-01 10:01:30,F-1
15,R2019081303584128405106,33.2325981018627,128.955617365545,4928.39454972576,657.634628800505,2012-02-01 10:01:40,F-1
16,R2019081303584128405106,33.22952916870361,128.93605465562598,4748.88747243624,740.6675040678439,2012-02-01 10:01:50,F-1
17,R2019081303584128405106,33.2263794131312,128.915976748618,5493.17033914531,670.6074499155429,2012-02-01 10:02:00,F-1
18,R2019081303584128405106,33.2231415352913,128.895337112088,4653.92812767715,650.452676136257,2012-02-01 10:02:10,F-1
19,R2019081303584128405106,33.219705111725304,128.873431859057,5143.26195402223,712.045496591388,2012-02-01 10:02:20,F-1
20,R2019081303584128405106,33.2165120395711,128.853077833385,5346.16472518359,724.319528124444,2012-02-01 10:02:30,F-1
21,R2019081303584128405106,33.2132175572768,128.832077375533,5164.7345925051395,655.16190384755,2012-02-01 10:02:40,F-1
22,R2019081303584128405106,33.2098490542574,128.81060507750098,4951.33774795166,734.003959076481,2012-02-01 10:02:50,F-1
23,R2019081303584128405106,33.2064027695636,128.788636965369,4935.05775064,677.570330131599,2012-02-01 10:03:00,F-1
24,R2019081303584128405106,33.203027894472896,128.767124048993,5073.5744212631,724.2784055295772,2012-02-01 10:03:10,F-1
25,R2019081303584128405106,33.1999261962361,128.747352480269,5331.8297410532,749.570304062017,2012-02-01 10:03:20,F-1
26,R2019081303584128405106,33.1967544082773,128.727134129282,5302.85839215054,693.308433398282,2012-02-01 10:03:30,F-1
27,R2019081303584128405106,33.1937324084696,128.70787059288298,4657.243162001129,656.0510315494851,2012-02-01 10:03:40,F-1
28,R2019081303584128405106,33.1905255775653,128.687428862975,4936.174805479211,704.133990665029,2012-02-01 10:03:50,F-1
29,R2019081303584128405106,33.1871891345866,128.666160929536,4882.9761698762795,705.318901341091,2012-02-01 10:04:00,F-1
30,R2019081303584128405106,33.1837801314046,128.644430465916,5284.2571776286995,668.539721527388,2012-02-01 10:04:10,F-1
31,R2019081303584128405106,33.1805162591055,128.62362512943898,4519.44302489024,666.9620859981342,2012-02-01 10:04:20,F-1
32,R2019081303584128405106,33.1774172217932,128.6038705226,4784.259673340371,671.97892974223,2012-02-01 10:04:30,F-1
33,R2019081303584128405106,33.1712148412218,128.563489318736,5444.86853058677,653.718119861427,2012-02-01 10:04:40,F-1
34,R2019081303584128405106,33.1682648638566,128.54387734741601,4703.0888573281,661.846013931486,2012-02-01 10:04:50,F-1
35,R2019081303584128405106,33.1650477409901,128.52248934555,4654.79261295627,711.2726870743901,2012-02-01 10:05:10,F-1
