ID,JD,WD,GD,SD,SJ,target,new
R2019081303584407603967,124.35678998879801,38.9041839938298,5162.14916606534,679.399262894597,2012-02-01 10:01:54,F-5,"124.35678998879801,38.9041839938298"
R2019081303584407603967,124.342863840327,38.8842132846529,4968.05087498764,661.646198486745,2012-02-01 10:02:04,F-5,"124.342863840327,38.8842132846529"
R2019081303584407603967,124.320232919834,38.8649187026125,5430.05551441109,697.991786640134,2012-02-01 10:02:14,F-5,"124.320232919834,38.8649187026125"
R2019081303584407603967,124.32861870931002,38.8390301366361,5338.38819006383,671.529537169975,2012-02-01 10:02:24,F-5,"124.32861870931002,38.8390301366361"
R2019081303584407603967,124.319754928011,38.8122675009821,5006.22160197525,738.597325463126,2012-02-01 10:02:34,F-5,"124.319754928011,38.8122675009821"
R2019081303584407603967,124.29874886372,38.8059227667345,5161.195161594629,709.93197721426,2012-02-01 10:02:44,F-5,"124.29874886372,38.8059227667345"
R2019081303584407603967,124.309202787964,38.7776570707257,4675.29165333849,675.745830603757,2012-02-01 10:02:54,F-5,"124.309202787964,38.7776570707257"
R2019081303584407603967,124.28589300571998,38.7630134940189,5073.0088733011,695.5549716695932,2012-02-01 10:03:04,F-5,"124.28589300571998,38.7630134940189"
R2019081303584407603967,124.293530019244,38.7382668814319,5225.83245380122,653.676983296721,2012-02-01 10:03:14,F-5,"124.293530019244,38.7382668814319"
R2019081303584407603967,124.309449067565,38.72697965759421,4767.3915826098,661.349266959051,2012-02-01 10:03:24,F-5,"124.309449067565,38.72697965759421"
R2019081303584407603967,124.30926886769501,38.6919074421479,4932.926101346,724.7224717748918,2012-02-01 10:03:34,F-5,"124.30926886769501,38.6919074421479"
R2019081303584407603967,124.29054788486799,38.6770518723041,4790.856342432489,728.7771026970711,2012-02-01 10:03:44,F-5,"124.29054788486799,38.6770518723041"
R2019081303584407603967,124.285246221014,38.645324703639005,4895.23334866168,695.526682327281,2012-02-01 10:03:54,F-5,"124.285246221014,38.645324703639005"
R2019081303584407603967,124.29323970379801,38.6142571490048,4603.4245556702,680.462621306285,2012-02-01 10:04:04,F-5,"124.29323970379801,38.6142571490048"
R2019081303584407603967,124.27666475767599,38.589448873666704,5336.24462077219,714.2286498398648,2012-02-01 10:04:14,F-5,"124.27666475767599,38.589448873666704"
R2019081303584407603967,124.25409250965599,38.571674587605294,5262.44541432822,666.014080083004,2012-02-01 10:04:24,F-5,"124.25409250965599,38.571674587605294"
R2019081303584407603967,124.252498261782,38.5485027865131,5194.55113294281,683.1928189532799,2012-02-01 10:04:34,F-5,"124.252498261782,38.5485027865131"
R2019081303584407603967,124.24784395286,38.49030715729409,4907.960685159989,666.469337426345,2012-02-01 10:04:54,F-5,"124.24784395286,38.49030715729409"
R2019081303584407603967,124.246749707443,38.478448246856,4761.84924238448,714.153648430553,2012-02-01 10:05:04,F-5,"124.246749707443,38.478448246856"
R2019081303584407603967,124.25434706277599,38.4531907723911,4970.60762088308,651.0068113920311,2012-02-01 10:05:14,F-5,"124.25434706277599,38.4531907723911"
R2019081303584407603967,124.241720690457,38.41928966808671,4693.9180936636,741.098009697673,2012-02-01 10:05:24,F-5,"124.241720690457,38.41928966808671"
R2019081303584407603967,124.24298327695601,38.398223057265795,4732.838072456811,652.532561264249,2012-02-01 10:05:34,F-5,"124.24298327695601,38.398223057265795"
R2019081303584407603967,124.222792116915,38.3881397157578,5444.4745070973795,726.0715690330002,2012-02-01 10:05:44,F-5,"124.222792116915,38.3881397157578"
R2019081303584407603967,124.226015754298,38.377104584911606,4804.69404687392,722.7437726095061,2012-02-01 10:05:54,F-5,"124.226015754298,38.377104584911606"
R2019081303584407603967,124.236559629923,38.3694096748766,4902.69225621721,673.432581323866,2012-02-01 10:06:04,F-5,"124.236559629923,38.3694096748766"
R2019081303584407603967,124.228909820085,38.3349015052033,4673.82013433325,739.829155844557,2012-02-01 10:06:14,F-5,"124.228909820085,38.3349015052033"
R2019081303584407603967,124.208470124084,38.3178804740055,5378.4385304332,736.132056864971,2012-02-01 10:06:24,F-5,"124.208470124084,38.3178804740055"
R2019081303584407603967,124.21295247411699,38.2839715909731,4766.07729972623,713.0614111027969,2012-02-01 10:06:34,F-5,"124.21295247411699,38.2839715909731"
R2019081303584407603967,124.187179991355,38.26522857590521,5233.72176277159,743.185530180664,2012-02-01 10:06:44,F-5,"124.187179991355,38.26522857590521"
R2019081303584407603967,124.199674739726,38.2563610012035,4633.98575882147,719.706197720816,2012-02-01 10:06:54,F-5,"124.199674739726,38.2563610012035"
R2019081303584407603967,124.179594235646,38.2249961606101,5259.40457906546,720.537406704639,2012-02-01 10:07:04,F-5,"124.179594235646,38.2249961606101"
R2019081303584407603967,124.176692316653,38.2157907738259,4793.54900228491,700.828784075952,2012-02-01 10:07:14,F-5,"124.176692316653,38.2157907738259"
R2019081303584407603967,124.176576750075,38.190229654417,5284.00705651567,735.1505478309241,2012-02-01 10:07:24,F-5,"124.176576750075,38.190229654417"
R2019081303584407603967,124.174674360718,38.1541065809372,5296.62329507834,738.227715989681,2012-02-01 10:07:34,F-5,"124.174674360718,38.1541065809372"
R2019081303584407603967,124.17190621553002,38.1248178945062,5052.150559403071,696.136042636883,2012-02-01 10:07:44,F-5,"124.17190621553002,38.1248178945062"
R2019081303584407603967,124.16174070913601,38.1271634893247,4890.99180437205,700.060405046707,2012-02-01 10:07:54,F-5,"124.16174070913601,38.1271634893247"
R2019081303584407603967,124.16376284271999,38.1034042443952,4726.604221959879,726.4305799624091,2012-02-01 10:08:04,F-5,"124.16376284271999,38.1034042443952"
R2019081303584407603967,124.175322126972,38.1039636138647,5227.60442678239,660.191598958425,2012-02-01 10:08:14,F-5,"124.175322126972,38.1039636138647"
R2019081303584407603967,124.148381191638,38.0693687002965,5200.45587313383,683.706510874306,2012-02-01 10:08:24,F-5,"124.148381191638,38.0693687002965"
R2019081303584407603967,124.149279518647,38.051192676916706,4602.19719032859,664.784824529097,2012-02-01 10:08:34,F-5,"124.149279518647,38.051192676916706"
R2019081303584407603967,124.155924499533,38.0356960716869,5024.901964480479,740.043868212981,2012-02-01 10:08:44,F-5,"124.155924499533,38.0356960716869"
R2019081303584407603967,124.15965406422701,38.0379732523321,4646.21330431952,665.322350764332,2012-02-01 10:08:54,F-5,"124.15965406422701,38.0379732523321"
R2019081303584407603967,124.15080421906299,38.007354051595996,5352.17104845316,661.729603638747,2012-02-01 10:09:04,F-5,"124.15080421906299,38.007354051595996"
