WD,JD
25.5407,121.4931314
25.5494713,121.5191401
25.5582426,121.5419447
25.5670139,121.5617135
25.5757852,121.5786117
25.5845565,121.5928014
25.5933278,121.6044416
25.6020991,121.6136878
25.6108704,121.6206919
25.61964169,121.6256026
25.62841299,121.6285646
25.63718429,121.6297187
25.64595559,121.6292023
25.65472689,121.6271484
25.66349819,121.6236862
25.67226949,121.6189407
25.68104079,121.6130329
25.68981209,121.6060795
25.69858339,121.598193
25.70735469,121.5894818
25.71612599,121.5800499
25.72489729,121.5699968
25.73366859,121.5594181
25.74243989,121.5484048
25.75121119,121.5370437
25.75998249,121.5254172
25.76875379,121.5136037
25.77752508,121.501677
25.78629638,121.4897069
25.79506768,121.477759
25.80383898,121.4658946
25.81261028,121.4541711
25.82138158,121.4426418
25.83015288,121.4313558
25.83892418,121.4203587
25.84769548,121.409692
25.85646678,121.3993933
25.86523808,121.3894968
25.87400938,121.380033
25.88278068,121.3710286
25.89155198,121.3625073
25.90032328,121.3544892
25.90909458,121.3469913
25.91786588,121.3400272
25.92663718,121.3336078
25.93540847,121.3277409
25.94417977,121.3224315
25.95295107,121.3176819
25.96172237,121.3134918
25.97049367,121.3098586
25.97926497,121.3067771
25.98803627,121.3042399
25.99680757,121.3022376
26.00557887,121.3007588
26.01435017,121.2997901
26.02312147,121.2993164
26.03189277,121.2993211
26.04066407,121.2997859
26.04943537,121.3006911
26.05820667,121.3020161
26.06697797,121.3037385
26.07574927,121.3058355
26.08452056,121.3082831
26.09329186,121.3110564
26.10206316,121.31413
26.11083446,121.3174779
26.11960576,121.3210736
26.12837706,121.3248902
26.13714836,121.3289007
26.14591966,121.3330779
26.15469096,121.3373944
26.16346226,121.341823
26.17223356,121.3463368
26.18100486,121.3509088
26.18977616,121.3555127
26.19854746,121.3601223
26.20731876,121.3647122
26.21609006,121.3692573
26.22486136,121.3737335
26.23363266,121.378117
26.24240395,121.3823852
26.25117525,121.3865161
26.25994655,121.3904888
26.26871785,121.3942833
26.27748915,121.3978806
26.28626045,121.4012629
26.29503175,121.4044133
26.30380305,121.4073164
26.31257435,121.4099579
26.32134565,121.4123244
26.33011695,121.4144043
26.33888825,121.4161869
26.34765955,121.417663
26.35643085,121.4188248
26.36520215,121.4196655
26.37397345,121.42018
26.38274475,121.4203645
26.39151605,121.4202165
26.40028734,121.4197347
26.40905864,121.4189194
26.41782994,121.4177722
26.42660124,121.4162959
26.43537254,121.4144948
26.44414384,121.4123742
26.45291514,121.409941
26.46168644,121.4072031
26.47045774,121.4041697
26.47922904,121.4008513
26.48800034,121.3972593
26.49677164,121.3934064
26.50554294,121.3893063
26.51431424,121.3849738
26.52308554,121.3804244
26.53185684,121.375675
26.54062814,121.370743
26.54939944,121.3656468
26.55817073,121.3604055
26.56694203,121.3550391
26.57571333,121.3495681
26.58448463,121.3440136
26.59325593,121.3383975
26.60202723,121.3327419
26.61079853,121.3270695
26.61956983,121.3214035
26.62834113,121.315767
26.63711243,121.3101839
26.64588373,121.304678
26.65465503,121.2992732
26.66342633,121.2939935
26.67219763,121.2888632
26.68096893,121.2839061
26.68974023,121.2791462
26.69851153,121.2746073
26.70728282,121.2703129
26.71605412,121.2662862
26.72482542,121.2625502
26.73359672,121.2591273
26.74236802,121.2560396
26.75113932,121.2533087
26.75991062,121.2509556
26.76868192,121.2490006
26.77745322,121.2474636
26.78622452,121.2463635
26.79499582,121.2457186
26.80376712,121.2455464
26.81253842,121.2458637
26.82130972,121.2466861
26.83008102,121.2480287
26.83885232,121.2499052
26.84762362,121.2523287
26.85639492,121.2553112
26.86516621,121.2588635
26.87393751,121.2629955
26.88270881,121.2677161
26.89148011,121.2730329
26.90025141,121.2789524
26.90902271,121.2854802
26.91779401,121.2926204
26.92656531,121.3003761
26.93533661,121.3087495
26.94410791,121.3177411
26.95287921,121.3273507
26.96165051,121.3375766
26.97042181,121.3484162
26.97919311,121.3598655
26.98796441,121.3719195
26.99673571,121.3845719
27.00550701,121.3978155
27.01427831,121.4116417
27.0230496,121.4260411
27.0318209,121.4410029
27.0405922,121.4565155
27.0493635,121.472566
27.0581348,121.4891409
27.0669061,121.5062253
27.0756774,121.5238035
27.0844487,121.541859
27.09322,121.5603742
27.1019913,121.5793308
27.1107626,121.5987097
